subject_id,type,info,ee,en
M1A,,,Moodul M1A Raadio- ja elektrotehnika teooria.,
,question,,Mida tähendab termin impedants?,What does the term impedance mean?
,,,,
,FALSE,,Kondensaatoris salvestatavat elektrilaengut.,The electrical charge stored in a capacitor.
,TRUE,,Vooluringi poolt vahelduvvoolule osutatavat takistust.,The resistance offered by a circuit to alternating current.
,FALSE,,Mahtuvust sisaldava vooluringi poolt vahelduvvoolule osutatavat takistust.,The resistance offered to alternating current by a circuit containing capacitance.
,FALSE,,Juhtivust,Conductivity
,,,,
,question,,Kuidas nimetatakse mahtuvust ja induktiivsust sisaldava vooluringi poolt vahelduvvoole osutatavat takistust?,What is the name given to the resistance offered to alternating current by a circuit containing capacitance and inductance?
,,,,
,FALSE,,Oom.,Oom
,FALSE,,Dzhaul.,Joule
,TRUE,,Impedants.,Impedance
,FALSE,,Juhtivuseks.,Conductivity
,,,,
,question,,Kuidas nimetatatkse induktiivsuse poolt vahelduvvoolule osutatavat takistust?,What is the name given to the resistance offered by an inductance to alternating current?
,,,,
,FALSE,,Takistus.,Resistance
,TRUE,,Reaktiivtakistus.,Reactance
,FALSE,,Näivjuhtivus.,Apparent conductivity
,FALSE,,Impedants.,Impedance
,,,,
,question,,Kuidas nimetatatkse mahtuvuse poolt vahelduvvoolule osutatavat takistust,What is the name given to the resistance offered by capacitance to alternating current?
,,,,
,FALSE,,Takistus.,Resistance
,TRUE,,Reaktiivtakistus.,Reactance
,FALSE,,Näivjuhtivus.,Apparent conductivity
,FALSE,,Impedants.,Impedance
,,,,
,question,,Kuidas reageerib induktiivsus vahelduvvoolule?,How does inductance respond to alternating current?
,,,,
,FALSE,,Vahelduvvoolu sageduse suurenedes reaktiivtakustus väheneb.,"As the frequency of the alternating current increases, the reactance decreases."
,FALSE,,Vahelduvvoolu amplituude suurenedes suureneb ka reaktiivtakistus.,"As the amplitude of the alternating current increases, the reactance also increases."
,TRUE,,Vahelduvvoolu sageduse suurenedes reaktiivsus suureneb.,"As the frequency of the alternating current increases, reactance increases."
,FALSE,,Vahelduvvoolu amplituude suurenedes väheneb reaktiivtakistus.,"As the amplitude of the alternating current increases, the reactance decreases."
,,,,
,question,,Kuidas reageerib mahtuvus vahelduvvoolule?,How does capacitance respond to alternating current?
,,,,
,TRUE,,Vahelduvvoolu sageduse suurenedes reaktiivtakustus väheneb.,"As the frequency of the alternating current increases, reactance decreases."
,FALSE,,Vahelduvvoolu amplituude suurenedes suureneb ka reaktiivtakistus.,"As the amplitude of the alternating current increases, reactance also increases."
,FALSE,,Vahelduvvoolu sageduse suurenedes reaktiivsus suureneb.,"As the frequency of the alternating current increases, reactance increases."
,FALSE,,Vahelduvvoolu amplituude suurenedes reaktiivtakistus väheneb.,"As the amplitude of the alternating current increases, the reactance decreases."
,,,,
,question,,Millal annab toiteallikas maksimaalse väljundenergia?,When does a power supply provide maximum output power?
,,,,
,TRUE,,Juhul kui koormusimpedants on võrdne vooluallika impedantsiga.,In the case where the load impedance is equal to the current source impedance.
,FALSE,,Kui seisulainetegur on saavutanud maksimaalväärtuse.,When the standing wave factor has reached its maximum value.
,FALSE,,Kui raudsüdamikuga transformaatori asemel kasutatakse õhksüdamikuga transformaatorit.,If an air-core transformer is used instead of an iron-core transformer.
,FALSE,,Kui kasutatakse toroidtransformaatorit.,If a toroidal transformer is used.
,,,,
,question,,Mida tähendab termin impedantside sobitamine?,What does the term impedance matching mean?
,,,,
,FALSE,,Koormusimpedantsi toiteallika impedantsist palju suuremaks tegemine.,Making the load impedance much larger than the power source impedance.
,TRUE,,Koormusimpedantsi võrdsustamine toiteallika impedantsiga.,Matching the load impedance to the power source impedance.
,FALSE,,Baluni kasutamine antenni toitepunktis.,Using a balun at the antenna feed point.
,FALSE,,Saatja väljundimpedantsiga võrdse takistusega toitekaabli kasutamine.,Using a power cable with a resistance equal to the transmitter output impedance.
,,,,
,question,,Mis juhtub kui elektrilise koormuse impedants on võrdne toiteallika impedantsiga?,What happens when the impedance of an electrical load is equal to the impedance of the power source?
,,,,
,FALSE,,Toiteallikas juhib koormusesse minimaalse võimsuse.,The power supply delivers minimal power to the load.
,FALSE,,Vool katkeb vooluahelas.,The current is interrupted in the circuit.
,TRUE,,Toiteallikas juhib koormusesse maksimaalse võimsuse.,The power supply delivers maximum power to the load.
,FALSE,,Väljundvõimsus langeb poole võrra.,The output power is halved.
,,,,
,question,,Miks on impedantside sobitamine raadiotehnikas väga oluline?,Why is impedance matching very important in radio engineering?
,,,,
,TRUE,,Võimaldab toiteallikast juhtida koormusesse maksimaalse võimsuse.,Allows maximum power to be delivered from the power source to the load.
,FALSE,,Kindlustab vooluringi aktiiv- ja reaktiivtakistuse võrdsuse.,Ensures equality of active and reactive resistance in the circuit.
,FALSE,,Kindlustab minimaalse võimsuse saamise toitallikast.,Ensures minimum power is obtained from the power source.
,FALSE,,Vähendab elektrivõrgust tarbitavat võimsust.,Reduces power consumption from the electrical grid.
,,,,
,question,,Milline on reaktiivtakistuse mõõtühik?,What is the unit of measurement for reactance?
,,,,
,TRUE,,Oom.,Oom
,FALSE,,Volt.,Volt
,FALSE,,Amper.,Amp
,FALSE,,Siimens.,Siemens
,,,,
,question,,Milline on impedantsi mõõtühik?,What is the unit of measurement for impedance?
,,,,
,TRUE,,Oom.,Oom
,FALSE,,Volt.,Volt
,FALSE,,Amper.,Amp
,FALSE,,Siimens.,Siemens
,,,,
,question,,Mis on Bell?,What is a Bell?
,,,,
,FALSE,,Mahtuvuse muutumise mõõtühik.,A unit of measurement for change in capacitance.
,FALSE,,Induktiivsuse muutumise mõõtühik.,A unit of measurement for change in inductance.
,TRUE,,Erinevate võimsuste suhte suurust väljendav ühik.,A unit expressing the size of the ratio of different powers.
,FALSE,,Seisulaine suhte mõõtühik.,A unit of measurement for the standing wave ratio.
,,,,
,question,,Mis on detsibell?,What is a decibel?
,,,,
,TRUE,,"Võimsusnivoode suhte muutumine 0,1 Belli võrra.",A change in the ratio of power levels by 0.1 Bell.
,FALSE,,"Võimsusnivoode suhte muutumine 0,01 Belli võrra.",A change in the ratio of power levels by 0.01 Bell.
,FALSE,,Võimsusnivoode suhte muutumine 10 Belli võrra.,A change in the ratio of power levels by 10 Bells.
,FALSE,,Võimsusnivoode suhte muutumine 0;001 Belli võrra.,A change in the ratio of power levels by 0.001 Bell.
,,,,
,question,,Ligikaudu mitu detsibelli on vaevaltmärgatav helitugevuse muutus?,Approximately how many decibels is a barely noticeable change in volume?
,,,,
,FALSE,,12 dB.,12dB
,FALSE,,6 dB.,6dB
,TRUE,,1 dB.,1dB
,FALSE,,3 dB.,3dB
,,,,
,question,,Võimsuse suurenemine kaks korda on detsibellides:,The power increase by two times is in decibels:
,,,,
,FALSE,,1 dB.,1dB
,TRUE,,3 dB.,3dB
,FALSE,,6 dB.,6dB
,FALSE,,12 dB.,12dB
,,,,
,question,,Mitu korda suureneb võimsus 6 dB puhul?,How many times does the power increase for a 6 dB increase?
,,,,
,FALSE,,"1,5 korda.",1.5 times
,FALSE,,2 korda.,2 times
,TRUE,,4 korda.,4 times
,FALSE,,"0,5 korda.",0.5 times
,,,,
,question,,Mitu korda suureneb võimsus 3 dB puhul?,How many times does the power increase for 3 dB?
,,,,
,FALSE,,"1,5 korda.",1.5 times
,TRUE,,2 korda.,2 times
,FALSE,,4 korda.,4 times
,FALSE,,"0,5 korda.",0.5 times
,,,,
,question,,Signaali raport on ”10 dB üle S9”.Kui saatja võimsust vähendatakse 1500 vatilt 150 vatini kui suur on uus signaali tugevuse raport?,"The signal report is “10 dB above S9”. If the transmitter power is reduced from 1500 watts to 150 watts, what is the new signal strength report?"
,,,,
,FALSE,,S5.,S5
,FALSE,,S7.,S7
,TRUE,,S9.,S9
,FALSE,,S3.,S3
,,,,
,question,,Signaali raport on “20 dB üle S9”.Kui saatja võimsust vähendatakse 1500 vatilt 15 vatini kui suur on uus signaali tugevuse raport?,"The signal report is “20 dB above S9”. If the transmitter power is reduced from 1500 watts to 15 watts, what is the new signal strength report?"
,,,,
,FALSE,,S5.,S5
,FALSE,,S7.,S7
,TRUE,,S9.,S9
,FALSE,,S3.,S3
,,,,
,question,,Kui 1 amprilise vooluallikaga on ühendatud kaks paralleelselt lülitatud 10-oomist takistit kui suur vool läbib kumbagi takistit?,"If two 10-ohm resistors are connected in parallel to a 1-ampere current source, how much current will flow through each resistor?"
,,,,
,FALSE,,10 amprit.,10 amps
,FALSE,,1 amper.,1 amp
,TRUE,,"0,5 amprit.",0.5 amps
,FALSE,,"0,25 amprit.",0.25 amps
,,,,
,question,,Kui suur on kasutatav võimsus kui 400V pingega vooluallikas ühendatakse 800 oomise koormusega?,How much power is used when a 400V power source is connected to an 800 ohm load?
,,,,
,FALSE,,"0,5 vatti.",0.5 watts
,TRUE,,200 vatti.,200 watts
,FALSE,,400 vatti.,400 watts
,FALSE,,800 vatti.,800 watts
,,,,
,question,,Kui suur on 12V 0.2A vooluga indikaatorlambi võimsus?,What is the power of a 12V 0.2A indicator lamp?
,,,,
,FALSE,,60 vatti.,60 watts
,FALSE,,24 vatti.,24 watts
,TRUE,,"2,4 vatti.",2.4 watts
,FALSE,,"0,24 vatti.",0.25 watts
,,,,
,question,,"Kui suur võimsus eraldub 0,25 kilo-oomisel takistil kui teda läbib vool tugevusega 7,0 milliamprit?",How much power is dissipated in a 0.25 kilo-ohm resistor when a current of 7.0 milliamperes flows through it?
,,,,
,FALSE,,Ligikaudu 51 millivatti.,Approximately 51 milliwatts
,FALSE,,Ligikaudu 39 millivatti.,Approximately 39 milliwatts.
,TRUE,,Ligikaudu 9 millivatti.,Approximately 9 milliwatts.
,FALSE,,"Ligikaudu 0,9 millivatti.",Approximately 0.9 milliwatts.
,,,,
,question,,Kui suur on mitmest takistist koosneva jadalülituse kogutakistus?,What is the total resistance of a series circuit consisting of several resistors?
,,,,
,TRUE,,Kogutakistus on võrdne kõikide takistite takistuste summaga.,The total resistance is equal to the sum of the resistances of all resistors.
,FALSE,,Kogutakistus on väiksem kõige väiksema takisti takistuse väärtusest.,The total resistance is less than the resistance value of the smallest resistor.
,FALSE,,Kogutakistuse saame jagades takistite takistuste summa takistite arvuga.,We get the total resistance by dividing the sum of the resistances of the resistors by the number of resistors.
,FALSE,,Iga takisti tolerantsi tuleb suurendada proportsionaalselt takistite arvule.,The tolerance of each resistor must be increased in proportion to the number of resistors.
,,,,
,question,,Kui suur on kahe võrdse paralleelselt lülitatud takistist koosneva ahela kogutakistus?,What is the total resistance of a circuit consisting of two equal resistors connected in parallel?
,,,,
,FALSE,,Kahekordne ühe takisti takistuse väärtus.,Double the resistance value of one resistor.
,TRUE,,Pool kummagi takisti takistuse väärtusest.,Half the resistance value of each resistor.
,FALSE,,Kahekordne kummagi takisti väärtus.,Double the value of each resistor.
,FALSE,,Ei saa määrata takistite täpset takistust teadmata.,Ei saa määrata takistite täpset takistust teadmata.
,,,,
,question,,Mis on detsibell?,What is a decibel?
,,,,
,TRUE,,"Võimsusnivoode suhte muutumine 0,1 Belli võrra.",A change in the ratio of power levels by 0.1 Bell.
,FALSE,,"Võimsusnivoode suhte muutumine 0,01 Belli võrra.",A change in the ratio of power levels by 0.01 Bell.
,FALSE,,Võimsusnivoode suhte muutumine 10 Belli võrra.,A change in the ratio of power levels by 10 Bell.
,FALSE,,Võimsusnivoode suhte muutumine 0.001 Belli võrra.,A change in the ratio of power levels by 0.001 Bell.
,,,,
,question,,Kui suur on kahe paralleelselt ühendatud induktiivsuse koguväärtus?,What is the total value of two inductances connected in parallel?
,,,,
,FALSE,,Pool kummagi väärtusest vastastikust induktiivsust arvestamata.,"Half the value of each, excluding mutual inductance."
,FALSE,,Kahekordne kummagi induktiivsuse väärtus.,Double the value of each inductance.
,FALSE,,Kahekordne kummagi induktiivsuse väärtus.,Double the value of each inductance.
,TRUE,,Ei saa määrata induktiivsuste täpset suurust teadmata.,It is impossible to determine the exact size of the inductances without knowing them.
,,,,
,question,,"Kui suur on pinge transformaatori 500 keerust koosneva sekundaarmähise klemmidel, kui 2200 keerust koosnev primaarmähis on lülitatud 220V vahelduvvooluvõrku?",What is the voltage at the terminals of the secondary winding of a transformer with 500 turns when the primary winding with 2200 turns is connected to a 220V AC network?
,,,,
,FALSE,,"526,5V.",526.5 volts
,TRUE,,50V.,50 volts
,FALSE,,26V.,26 volts
,FALSE,,13V,13 volts
,,,,
,question,,Kui suur on 200 oomise väljundtakistusega helisagedusvõimendi sobitamiseks 10-oomise valjuhääldiga vajaliku transformaatori mähiste keerdude suhe?,What is the turns ratio of the transformer windings required to match an audio frequency amplifier with an output impedance of 200 ohms to a 10 ohm loudspeaker?
,,,,
,TRUE,,4.47 : 1.,4.47 : 1
,FALSE,,400: 1.,400: 1
,FALSE,,20 : 1.,20 : 1
,FALSE,,10:1.,10:1
,,,,
,,,,
M2A,,,Moodul M2A Raadio- ja elektrotehnika kompoonendid.,
,question,,Kuidas mõjub ümbruskonna temperatuur süsiniktakisti takistusele?,How does the ambient temperature affect the resistance of a carbon resistor?
,,,,
,FALSE,,Takistus suureneb 20% temperatuuri tõusmisel iga 10 kraadi võrra.,Resistance increases by 20% for every 10 degrees Celsius increase in temperature.
,FALSE,,Takistuse suurus ei muutu.,The magnitude of the resistance does not change.
,TRUE,,Takistuse muutus sõltub takisti temperatuuritegurist sõltuvalt.,The change in resistance depends on the temperature coefficient of the resistor.
,FALSE,,Takistuse suurus muutub ajast sõltuvaks.,The magnitude of the resistance changes with time.
,,,,
,question,,Mis tüüpi kondensaatorit kasutatakse tihti võrgutoitealaldi silumisfiltris?,What type of capacitor is often used in the smoothing filter of a mains power rectifier?
,,,,
,FALSE,,Keraamilist ketaskondensaatorit.,Ceramic disc capacitor
,FALSE,,Muutuva mahtuvusega vaakumkondensaatorit.,Variable capacitance vacuum capacitor
,TRUE,,Elektrolüütkondensaatorit.,Electrolytic capacitor
,FALSE,,Vilgukivikondensaatorit.,Mica capacitor
,,,,
,question,,Millised kondensaatorid lülitatakse rööbiti transformaatori sekundaarmähisega pingeimpulsside vähendamiseks?,What capacitors are connected in parallel with the secondary winding of a transformer to reduce voltage pulses?
,,,,
,FALSE,,Suure mahtuvusega kondensaatorid.,Large capacity capacitors
,FALSE,,Muutuva mahtuvusega vaakumkondensaatorid.,Variable capacitance vacuum capacitors
,TRUE,,Keraamilised kondensaatorid.,Ceramic capacitors
,FALSE,,Trimmerid.,Trimmerid
,,,,
,question,,Mis tekitab poolide omaresonantsi?,What causes the self-resonance of coils?
,,,,
,FALSE,,Hajutatud elektromagnetism.,Diffused electromagnetism
,FALSE,,Pöörisvoolud.,Eddy currents
,TRUE,,Keerdudevaheline mahtuvus.,Interturn capacitance
,FALSE,,Parasiithüsterees.,Parasite hysteria
,,,,
,question,,Milline vooluringi komponent võimaldab suurendada vahelduvvoolu pinget 100 voldilt 1000 voldini?,Which circuit component allows you to increase the AC voltage from 100 volts to 1000 volts?
,,,,
,TRUE,,Transformaator.,Transformer
,FALSE,,Kondensaator.,Capacitor
,FALSE,,Diood.,Diode
,FALSE,,Filterdrossel.,Filter choke
,,,,
,question,,Kuidas nimetatakse transformaatori primaarmähises voolavat voolu kui Sekundaarmähise külge pole koormust lülitatud?’,What is the name given to the current flowing in the primary winding of a transformer when there is no load connected to the secondary winding?
,,,,
,TRUE,,Magneetimisvooluks.,Magnetizing current
,FALSE,,Alalisvooluks.,For direct current
,FALSE,,Ergutusvooluks.,For excitation current
,FALSE,,Stabiliseerimisvooluks.,For stabilization current
,,,,
,question,,Mis suurustega iseloomustatakse tavaliselt jõutransformaatori primaar- ja sekundaarmähiseid?,What are the dimensions usually used to characterize the primary and secondary windings of a power transformer?
,,,,
,FALSE,,Džauli sekundis.,Joules per second
,TRUE,,Volt või volt-amper.,Volt or volt-ampere
,FALSE,,Kulonit sekundis.,Coulombs per second
,FALSE,,Vastupinge.,Back pressure
,,,,
,question,,Mis on toiteseadme alalduselemendi vastupinge?,What is the reverse voltage of the rectifier element of a power supply?
,,,,
,FALSE,,"Suurim siirdepinge, mida diood on võimeline taluma.",The highest transient voltage that a diode is capable of withstanding
,FALSE,,"1,4 korda elektrivõrgu sagedus.",1.4 times the power grid frequency
,TRUE,,Mittejuhtivas suunas dioodi klemmidele rakendatud maksimaalne pinge.,The maximum voltage applied to the terminals of a diode in the non-conducting direction
,FALSE,,"2,8 korda elektrivõrgu sagedus",2.8 times the power grid frequency
,,,,
,question,,"Millised on ränidioodide kaks parameetrit, mida ei või ületada?",What are the two parameters of silicon diodes that cannot be exceeded?
,,,,
,FALSE,,"Maksimaalne koormusimpedants, tipppinge.","Maximum load impedance, peak voltage"
,FALSE,,"Keskmine võimsus, keskmine pinge","Average power, average voltage"
,TRUE,,"Maksimaalne vastupinge, keskmine pärivool.","Maximum reverse voltage, average forward current"
,FALSE,,"Mahtuvuslik takistus, laviinpinge.","Capacitive resistance, avalanche voltage"
,,,,
,question,,Miks peavad alaldi dioodid olema termaalselt kaitstud?,Why do rectifier diodes need to be thermally protected?
,,,,
,FALSE,,Nende läheduse tõttu transformaatorile.,Due to their proximity to the transformer
,TRUE,,Ülemäärase kuumenemise tõttu võivad rikneda.,They may deteriorate due to excessive heating
,FALSE,,Nende tundlikkuse tõttu siirdepingete mõjule.,Due to their sensitivity to transient voltages
,FALSE,,Nende kasutamise tõttu kõrgepingeseadmetes.,Due to their use in high voltage equipment
,,,,
,question,,Mis on Zener-dioodi (stabilitroni) peamine omadus?,What is the main characteristic of a Zener diode?
,,,,
,FALSE,,Konstantne vool kõikuva pinge puhul.,Constant current with fluctuating voltage
,TRUE,,Konstantne pinge muutliku voolu puhul.,Constant voltage for variable current
,FALSE,,"Sisemahtuvus, mis muutub sõltuvalt rakendatud pingest.",Internal capacitance that changes depending on the applied voltage
,,,,
,question,,Mis tüüpi diood on võimeline ostsilleerima ja ka võimendama?,What type of diode is capable of oscillating and also amplifying?
,,,,
,FALSE,,Punktkontaktdiood.,Point contact diode
,TRUE,,Tunneldiood.,Tunnel diode
,FALSE,,Ränialaldi.,Silicon rectifier
,FALSE,,Pinddiood.,Pin diode
,,,,
,question,,Mis on varaktordioodi peamine omadus?,What is the main characteristic of a varactor diode?
,,,,
,FALSE,,Hoiab stabiilset pinget läbiva muutliku voolu puhul.,Maintains stable voltage when passing through variable current
,TRUE,,Tema sisemahtuvus sõltub rakendatud pingest.,Its internal capacitance depends on the applied voltage
,FALSE,,Omab negatiivse takistusega regiooni.,Has a negative resistance region
,FALSE,,On väga kõrge vastupingega.,Has a very high backlash
,,,,
,question,,Milleks kasutatakse PIN dioodi?,What is a PIN diode used for?
,,,,
,FALSE,,Stabiilse voolu allikas.,Stable current source
,FALSE,,Stabiilse pinge allikas.,Stable voltage source
,TRUE,,Kõrgsageduslik dioodlüliti.,High frequency diode switch
,FALSE,,Kõrgpinge alaldi.,High voltage rectifier
,,,,
,question,,Kui suur on SSB telefonitööks vajaliku hea kvartsfiltri pääsuriba laius?,What is the passband width of a good quartz filter needed for SSB telephone work?
,,,,
,FALSE,,.6kHz -6dB pääsuriba juures.,.6kHz at -6dB passband
,TRUE,,"2,1kHz –6dB pääsuriba juures.",2.1kHz at –6dB passband
,FALSE,,500Hz --6dB pääsuriba juures.,At 500Hz --6dB passband
,FALSE,,15kHz --6dB pääsuriba juures.,15kHz --6dB at the passband
,,,,
,,,,
M3A,,,Moodul M3A Raadio- ja elektrotehnika ahelad.,
,question,,Miks ühendatakse toitealaldi dioodidega paralleelselt kondensaator ja takisti?,Why are a capacitor and a resistor connected in parallel with the diodes in a power rectifier?
,,,,
,FALSE,,Väljundpinge lainesuse silumiseks,To smooth the output voltage ripple
,FALSE,,Väljundpinge suurendamiseks.,To increase the output voltage
,TRUE,,Pingelangude võrdsustamiseks dioodidel ja pingeimpulsside kahjuliku mõju vähendamiseks.,To equalize voltage drops across diodes and reduce the harmful effects of voltage pulses
,FALSE,,Raadiohäirete vähendamiseks.,To reduce radio interference
,,,,
,question,,Milline on täislaine alaldi väljundpinge filtreerimata kuju?,What is the unfiltered shape of the output voltage of a full-wave rectifier?
,,,,
,FALSE,,Sile alalispinge.,Smooth DC voltage
,FALSE,,Sisendpinge sagedusega võrdne impulsside jada.,A sequence of pulses equal to the frequency of the input voltage
,TRUE,,Sisendpinge kahekordse sagedusega võrdne impulsside jada.,A sequence of pulses equal to twice the frequency of the input voltage
,FALSE,,Kolmnurkimpulsside jada.,A sequence of triangular pulses
,,,,
,question,,Millised komponendid moodustavad toitealaldi filtri,What components make up a power rectifier filter?
,,,,
,FALSE,,Dioodid.,Diodes
,FALSE,,Trafod ja transistorid.,Transformers and transistors
,TRUE,,Kondensaatorid ja drosselid.,Capacitors and chokes
,FALSE,,Transistorid ja drosselid.,Transistors and chokes
,,,,
,question,,Milline peab olema täisperioodalaldi alalduselemendi vastupinge suurus?,What should be the magnitude of the reverse voltage of the rectifier element of a full-wave rectifier?
,,,,
,FALSE,,Veerand alaldi nominaalsest väljundpingest.,A quarter of the rectifier's nominal output voltage
,FALSE,,Võrdne alaldi väljundpingega.,Equal to the rectifier output voltage
,TRUE,,Võrdne alaldi nominaalse väljundpinge kahekordse väärtusega.,Equivalent to twice the nominal output voltage of the rectifier
