subject_id,type,info,ee,en
,FALSE,,"Peate veenduma,et seisulainetegur antenni toitejuhtmes oleks piisavalt kõrge.",You need to make sure that the standing wave factor in the antenna feed line is high enough.
,,,,
,question,,"Soovite suvise päeva õhtupoolikul sidet saada amatööriga, kes asub teist ligikaudu 2000km eemal. Milline band sobiks edukaks sidepidamiseks kõige rohkem?",You want to communicate with an amateur who is approximately 2000km away from you on a summer afternoon. Which band would be most suitable for successful communication?
,,,,
,FALSE,,80 või 40 m band.,80 or 40 meter band
,TRUE,,40 või 15 m band.,40 or 15 meter band
,FALSE,,15 või 10 m band.,15 or 10 meter band
,FALSE,,2m või 23 cm band.,2 meter or 23 cm band
,,,,
,question,,Kuidas saab raadiojaama häälestamisel eetrisoleku aega viia miinimumini?,How can you minimize the time spent on air when tuning a radio station?
,,,,
,FALSE,,Kasutades suvalise pikkusega antenni.,Using an antenna of any length.
,FALSE,,Häälestades jaama esmalt 40m bandil siis minna üle teistele bandidele.,"When tuning the station first on the 40m band, then switch to other bands."
,TRUE,,Kasutades jaama häälestamiseks antenni ekvivalenti (dummy load).,Using an antenna equivalent (dummy load) to tune the station.
,FALSE,,Kasutades koaksiaalkaabli asemel lapikjuhet.,Using a flat cable instead of a coaxial cable.
,,,,
,question,,Peate sidet oma sõbraga Tartust ja äkki kuulete oma sagedusel hädaabikutset. Mida teete?,You are in touch with your friend in Tartu and suddenly you hear an emergency call on your frequency. What do you do?
,,,,
,FALSE,,"Teatate jaamale, et sagedus on hõivatud.",You inform the station that the frequency is busy.
,TRUE,,Hakkate otsekohe hädaabikutse infovahetust kirja panema.,You will immediately begin recording the emergency call information exchange.
,FALSE,,Helistate Päästeametisse.,You call the Rescue Board.
,FALSE,,Helistate Tehnilise Järelevalve Ametisse.,You call the Technical Surveillance Authority.
,,,,
,question,,"Milline on Morsekoodis antud standardse väljakutse ""CQ"" formaat?","What is the format of a standard ""CQ"" call in Morse code?"
,,,,
,TRUE,,"Saadate kolm korda ""CQ"", millele järgneb protseduurisignaal ""DE"" ja kolm korda oma kutsungi.","You send ""CQ"" three times, followed by the procedure signal ""DE"" and your callsign three times"
,FALSE,,"Saadate ""CQ"" kolm korda,""DE"" üks kord ja oma kutsungi ka üks kord.","You send ""CQ"" three times, ""DE"" once, and your callsign once"
,FALSE,,"Saadate ""CQ"" kümme korda, ""DE"" üks kord ja oma kutsung üks kord.","You send ""CQ"" ten times, ""DE"" once, and your callsign once"
,FALSE,,"Saadate pidevalt ""CQ"" kuni keegi kutsub teid.","You keep sending ""CQ"" until someone calls you"
,,,,
,question,,"Kuidas te vastate ""CQ"" väljakutsele?","How do you respond to someone calling ""CQ""?"
,,,,
,FALSE,,Saadate oma kutsungit neli korda.,You send your callsign four times
,TRUE,,"Saadate teise jaama kutsungi kaks korda, ""DE"" ja oma kutsungi kaks korda.","You send the other station's call sign twice, ""DE"", and your call sign twice"
,FALSE,,"Saadate teise jaama kutsungi üks kord,""DE"" ja oma kutsungi neli korda.","You send the other station's call sign once, ""DE"", and your call sign four times"
,FALSE,,"Saadate oma kutsungi, nime, jaama asukoha ja signaali rapordi.","You send your call sign, name, station location, and signal report"
,,,,
,question,,"Millise kiirusega tuleb saata ""CQ""?","At what speed should ""CQ"" be sent?"
,,,,
,FALSE,,Aeglasemalt kui 25 märki minutis.,Slower than 25 characters per minute
,FALSE,,"Suurima kiirusega, mida teie võti on võimeline arendama.",At the highest speed that your key is capable of developing
,TRUE,,"Kiirusega, millist olete ise võimeline korralikult vastu võtma.",At a speed that you are able to properly receive
,FALSE,,Suurima kiirusegamillega olete võimeline oma võtit manipuleerima.,The fastest speed at which you are able to manipulate your key
,,,,
,question,,Mis tähendus on Morsekoodi liittähtedel AR ?,What is the meaning of the Morse code letters AR?
,,,,
,FALSE,,Vastaku ainult kutsutud jaam.,Only the called station should answer
,FALSE,,Kõik on korralikult vastu võetud.,Everything has been properly received
,TRUE,,Saate lõpp.,End of the current transmission
,FALSE,,Parimad tervitused.,Best regards
,,,,
,question,,Mida tähendavad Morsekoodis saadetud liittähed SK ?,What do the compound letters SK sent in Morse code mean?
,,,,
,FALSE,,Enam-vähem korralikult vastu võetud.,More or less properly received
,FALSE,,Parimad tevitused.,Best regards
,TRUE,,Side lõpp.,End of the QSO / contact
,FALSE,,Oodake.,Wait
,,,,
,question,,Mida tähendavad Morsekoodis saadetud liittähed KN ?,What do the compound letters KN sent in Morse code mean?
,,,,
,FALSE,,Murrujoon.,Murrujoon
,FALSE,,Side lõpp.,End of the current transmission
,TRUE,,Vastaku ainult kutsutud jaam.,Only the called station should answer
,FALSE,,Saatke nüüd.,Saatke nüüd
,,,,
,question,,"Milleks kasutatakse signaali ""CQ"" ?","What is the ""CQ"" signal used for?"
,,,,
,FALSE,,"Teisele jaamale märguandmiseks, et kutsute teda veerand tunni pärast.",To signal to another station that you will call them in a quarter of an hour
,FALSE,,"Märguandmiseks,et proovite uut antenni ja väljakutsetele ei vasta.",To indicate that you are trying a new antenna and it is not responding to the challenges
,TRUE,,"Üldväljakutse märkimaks,et üritate kellegagi ühendust luua.",A general call to indicate that you are trying to connect with someone
,FALSE,,Ainult kutsutud jaam tohib vastata.,Only the called station may answer
,,,,
,question,,Mida tähendab lühend QRS ?,What does the abbreviation QRS mean?
,,,,
,FALSE,,Mind segavad staatilised häired.,I'm bothered by static.
,TRUE,,Saatke aeglasemalt.,Send slower
,FALSE,,Saatke RST raport.,Send RST report
,FALSE,,Raadiojaama asukoht on ...,Radio station location is...
,,,,
,question,,Mida tähendab lühend QTH ?,What does the abbreviation QTH mean?
,,,,
,FALSE,,Kellaaeg on ...,The time is...
,FALSE,,Minu nimi on ...,My name is...
,TRUE,,Minu asukoht on ...,My location is...
,FALSE,,Lõpetage saatmine.,Stop sending
,,,,
,question,,Milline on standardse telefoniväljakutse formaat?,What is the format of a standard telephone call?
,,,,
,FALSE,,"Saadate teise jaama kutsungi vähemalt kümme korda, siis sõnad ""this is"", seejärel oma kutsung vähemalt kaks korda.","You send the other station's call sign at least ten times, then the words ""this is"", then your call sign at least twice."
,FALSE,,"Saadate fraasi ""CQ"" vähemalt viis korda, siis ""this is"" ja oma kutsung üks kord.","You send the phrase ""CQ"" at least five times, then ""this is"" and your callsign once."
,TRUE,,"Saadate fraasi ""CQ"" kolm korda, ""this is"" ja oma kutsungi kolm korda.","You send the phrase ""CQ"" three times, ""this is"" and your callsign three times."
,FALSE,,"Saadate fraasi ""CQ"" vähemalt kümme korda, ""this is"" ja oma kutsungi ühe korra.","You will send the phrase ""CQ"" at least ten times, ""this is"" and your callsign once."
,,,,
,question,,Kuidas te vastate raadiotelefoni väljakutsele?,How do you respond someone calling CQ on Phone mode?
,,,,
,FALSE,,"Saadate teise jaama kutsungit kümme korda ,siis ""this is"" ja oma kutsungit vähe-malt kaks korda.","You send the other station's call sign ten times, then ""this is"" and your call sign at least twice."
,FALSE,,"Saadate teise jaama kutsungit veerimistabelit kasutades vähemalt viis korda, ""this is"" ja oma kutsungit vähemalt üks kord.","You send the other station's call sign using the rolling table at least five times, ""this is"" and your call sign at least once."
,TRUE,,"Saadate teise jaama kutsungit ühe korra,""this is"" ja oma kutsungit veerimista-belit kasutades ühe korra.","You send the other station's call sign once, ""this is"" and your call sign once using the phonetic alphabet."
,FALSE,,"Saadate teise jaama kutsungit kolm korda, ""this is"" ja oma kutsungit veerimistabelit kasutades vähemalt viis korda.","You send the other station's call sign three times, ""this is"" and your call sign using the phonetic alphabet at least five times."
,,,,
,question,,Kuidas tuleb veerimistabeli abil saata kutsung ES9A ?,How should the call sign ES9A be sent using the scrolling table?
,,,,
,FALSE,,Eemeli Sagari Nine Aarne.,Eemeli Sagari Nine Aarne.
,TRUE,,Echo Sierra Nine Alfa.,Echo Sierra Nine Alfa.
,FALSE,,Edward Santiago Nine Alabama.,Edward Santiago Nine Alabama.
,FALSE,,Echo Sugar Nine America.,Echo Sugar Nine America.
,,,,
,question,,Kuidas veeritakse kutsungit AE0LQY ?,How is the call sign AE0LQY spelled?
,,,,
,FALSE,,Able Easy Zero Lima Quebec Yankee.,Able Easy Zero Lima Quebec Yankee.
,FALSE,,Arizona Equador Zero London Queen Yesterday.,Arizona Equador Zero London Queen Yesterday.
,TRUE,,Alfa Echo Zero Lima Quebec Yankee.,Alfa Echo Zero Lima Quebec Yankee.
,FALSE,,Able Easy Zero Love Queen Yoke.,Able Easy Zero Love Queen Yoke.
,,,,
,question,,Mida tähendab lühend AS ?,What does the abbreviation AS mean?
,,,,
,FALSE,,Aktsiaselts.,Aktsiaselts
,FALSE,,Asu saatele.,Get on the air
,TRUE,,Oodake.,Wait
,FALSE,,Mis on teie nimi?,What is your name?
,,,,
,question,,Mida tähendab R RST signaali raportis?,What does R mean in the RST signal report?
,,,,
,FALSE,,Signaali taastumist.,Signal recovery
,FALSE,,CW tooni resonantsi.,CW tone resonance
,TRUE,,Signaali loetavust.,Signal readability
,FALSE,,Signaalitugevuse värelemise astet.,The degree of signal strength flicker
,,,,
,question,,Mida tähendab lühend QSL?,What does the abbreviation QSL mean?
,,,,
,FALSE,,Kas pean saatma teile oma jaamapäeviku?,Do I need to send you my station logbook?
,TRUE,,Kas võite kinnitada minu saadetud teate kättesaamist?,Can you confirm receipt of the message I sent?
,FALSE,,Kas pean saatma aeglasemalt?,Kas pean saatma aeglasemalt?
,FALSE,,Kes mind kutsub?,Who is calling me?
,,,,
,,,,
M12A,,,Moodul M12A Amatöörraadioside siseriiklik ja rahvusvaheline õiguslik regulatsioon.,
,question,,Mida loetakse amatöörraadiojaamaks?,What is considered an amateur radio station?
,,,,
,FALSE,,Tehases valmistatud raadiosideaparatuuri ja selle energiatoite seadmete kogumit.,A set of factory-made radio communications equipment and its power supply equipment.
,TRUE,,"Tehniliste seadmete kogumit, mida raadioamatöör võib kasutada amatöörraadiosideks Tehnilise Järelevalve Ameti poolt väljastatud tööloa alusel.",A set of technical equipment that a radio amateur may use as amateur radio parts on the basis of a work permit issued by the Technical Surveillance Authority.
,FALSE,,"Tehniliste seadmete kogumit, mida raadioamatöör võiks kasutada amatöörraadiosideks ka ilma Tehnilise Järelevalve Ameti poolt väljastatavat tööluba omamata.",A set of technical equipment that a radio amateur could use as amateur radio parts even without having a work permit issued by the Technical Surveillance Authority.
,FALSE,,"Raadiosideaparatuuri, mis on valmistatud amatööri enda poolt ja mõeldud kasutamiseks amatöörraadiosideks ka väljapoole Eesti territooriumi.",Radio communications equipment that is made by the amateur himself and intended for use as amateur radio equipment outside the territory of Estonia.
,,,,
,question,,Amatöörraadiojaama tehniliste seadmete kogumikku kuuluvad:,The collection of technical equipment for an amateur radio station includes:
,,,,
,FALSE,,Saatja ja vastuvõtja.,Transmitter and receiver
,FALSE,,"Saatja, vastuvõtja ja energiatoite seade.","Transmitter, receiver, and power supply device"
,TRUE,,"Saatja, vastuvõtja, lõppseade ja antenn(id).","Transmitter, receiver, terminal device and antenna(s)."
,FALSE,,Saatja ja selle lõppseade.,The transmitter and its terminal device.
,,,,
,question,,Amatöör-vahendusraadiojaamaks loetakse:,An amateur radio station is considered to be:
,,,,
,TRUE,,"Kindlal sagedusel või sagedustel toimivat amatöörraadiojaama, mille vahendusel teostatakse vastuvõetavate sõnaliste või digitaalsete saadete edastamist reaalajas või läbi vahemälu.","An amateur radio station operating on a specific frequency or frequencies, through which the transmission of received verbal or digital broadcasts is carried out in real time or through a cache."
,FALSE,,Avakosmoses paiknevat raadiojaama.,A radio station located in outer space.
,FALSE,,"Amatöörraadiojaama, mille kaudu edastatakse ainult ringteateid.",An amateur radio station that only transmits broadcast messages.
,FALSE,,"Amatöörraadiojaama, mille poolt genereeritavat signaali kasutatakse ainult raadiolevi tingimuste hindamiseks.",An amateur radio station whose generated signal is used only to assess radio transmission conditions.
,,,,
,question,,Amatöörraadiomajakaks loetakse:,An amateur radio beacon is considered to be:
,,,,
,FALSE,,"Avakosmoses paiknevat amatöörraadiojaama, mille vahendusel teostatakse raadio-levi tingimuste võrdlust.","An amateur radio station located in outer space, through which radio broadcasting conditions are compared"
,TRUE,,"Automaatselt toimivat amatöörraadiojaama, mida kasutatakse väljatugevuse mõõt-misel, antennide häälestamisel ja raadiolevi tingimuste hindamisel.","An automatically operating amateur radio station used for measuring field strength, tuning antennas, and assessing radio transmission conditions"
,FALSE,,"Ühiskasutusega amatöörraadiojaama, mida võib sidepidamiseks kasutada mitu raadioamatööri.",A shared amateur radio station that can be used by several radio amateurs for communication
,FALSE,,"Ainult amatöörraadiojaama, mis toimib majakana raadiospordi võistluste finišis.",Only an amateur radio station that acts as a beacon at the finish line of radio sports competitions
,,,,
,question,,Ühiskasutusega amatöörraadiojaamaks loetakse:,A shared amateur radio station is considered to be:
,,,,
,FALSE,,"Amatöörraadiojaama, mis toimib ainult teatud kindlal sagedusel ja kellaajal.",An amateur radio station that operates only on a specific frequency and time of day
,FALSE,,"Amatöörraadiojaama, mida võivad kasutada ka raadioamatööri kvalifikatsiooni mitteomavad isikud.",An amateur radio station that can also be used by persons without amateur radio qualifications
,TRUE,,"Amatöörraadiojaama, mis kuulub juriidilisele isikule või ERAÜ juures registreeritud raadioamatööride kollektiivile.",An amateur radio station owned by a legal entity or a collective of radio amateurs registered with the Estonian Radio and Television Association
,FALSE,,Kõik amatöörraadiojaamad.,All amateur radio stations
,,,,
,question,,Amatöörraadiojaama registreeritud asukohaks loetakse:,The registered location of an amateur radio station is considered to be:
,,,,
,FALSE,,"Asukoht, kust konkreetne raadiojaam antud ajahetkel väljub eetrisse.",The location from which a specific radio station is broadcasting at a given time.
,FALSE,,Amatöörraadiojaama valdaja elukoht.,Residence of the owner of the amateur radio station.
,FALSE,,"See asukoht, mille antud amatöörraadiojaama valdaja märgib päevikusse.",This is the location that the owner of a given amateur radio station records in the logbook.
,,,,
,question,,Amatöörraadiosideks loetakse:,Amateur radio communication is considered to be:
,,,,
,TRUE,,"Mittetulunduslikku raadiosidet, milles osalevad ainult raadioamatöörid.",Non-profit radio communication in which only radio amateurs participate.
,FALSE,,"Raadiosidet, milles korrespondentide valik on vaba.",Radio communication in which the choice of correspondents is free.
,FALSE,,"Raadiosidet, kus osapooled vahetavad informatsiooni ainult morsekoodi abil.","Radio communication, where the parties exchange information only using Morse code."
,FALSE,,"Raadiosidet, milles lisaks raadioamatööridele võivad korrespondentideks olla ka ametkondlikud raadiojaamad.","Radio communication, in which, in addition to radio amateurs, official radio stations can also be correspondents."
,,,,
,question,,Amatöörraadiosidet tohib kasutada:,Amateur radio communications may be used:
,,,,
,FALSE,,"Sagedusalades, mis vastavad IARU 2.regiooni sagedusplaanile.",In frequency bands that correspond to the IARU Region 2 frequency plan.
,TRUE,,"Ainult sagedusalades, mis on eraldatud amatöörraadiosideks Eesti raadiosageduste plaaniga.",Only in frequency bands that are allocated for amateur radio by the Estonian radio frequency plan.
,FALSE,,Ainult mitteavalike raadiosõnumite edastamiseks.,For non-public radio transmission only.
,FALSE,,Ainult täiendavalt kodeeritud sõnumite edastamiseks.,Only for transmitting additionally encoded messages.
,,,,
,question,,Raadioamatööriks loetakse isikut:,A radio amateur is considered to be a person:
,,,,
,FALSE,,"Kes oma vanuse, raadiotehniliste teadmiste ja elukogemuste põhjal võib seda nimetust kanda","A person who, based on their age, radio technical knowledge and life experience, can bear this titlle"
,FALSE,,"Kes kasutab tavalist ,headest tavadest lähtuvat kõnekeelt raadioside pidamisel.","A person who uses normal, good-practice spoken language when conducting radio communications"
,TRUE,,"Isikut, kes omab raadioamatööri kvalifikatsioonitunnistust.",A person who holds a radio amateur qualification certificate
,FALSE,,Kes on ERAÜ tegevliige.,A person who is an active member of the Estonian Amateur Radio League
,,,,
,question,,Amatöörraadiosides tohib edastada sihituseta või korrespondendita saateid:,Amateur radio stations may transmit untargeted or uncorrespondent programs:
,,,,
,FALSE,,Amatöörtelevisiooni saatja video- ja helikanali edastamiseks.,Amateur Television transmitter for transmitting video and audio channels.
,TRUE,,Amatöörraadiomajakate poolt.,By amateur radio beacons.
,TRUE,,Kõikidele Eesti raadioamatööridele määratud infoteadete edastamiseks.,For transmitting information messages designated for all Estonian radio amateurs.
,FALSE,,Ainult Morse koodis tähestiku õppe-treeningtekstide edastamiseks.,Only for transmitting alphabet learning and training texts in Morse code.
,,,,
,question,,Eesti amatöörraadiojaamale eraldatav kutsung koosneb:,The call sign assigned to an Estonian amateur radio station consists of:
,,,,
,FALSE,,"Kolmetähelisest eesliitest, kahekohalisest numbrist ja kolmetähelisest järelliitest.","A three-letter prefix, a two-digit number, and a three-letter suffix."
,FALSE,,"Ühetähelisest eesliitest, ühekohalisest numbrist ja neljatähelisest järelliitest.","A one-letter prefix, a one-digit number, and a four-letter suffix."
,TRUE,,"Kahetähelisest eesliitest, numbrist ja kuni kolmetähelisest järelliitest.","A two-letter prefix, a number, and up to a three-letter suffix."
,FALSE,,Kahekohalisest numbrilisest eesliitest ja kuni kolmetähelisest järelliitest.,A two-digit numeric prefix and up to a three-letter suffix.
,,,,
,question,,Haapsalus registreeritud amatöörraadiojaama kutsung algab:,The callsign of the amateur radio station registered in Haapsalu begins:
,,,,
,FALSE,,ES1,ES1
,FALSE,,ES2,ES2
,TRUE,,ES3,ES3
,FALSE,,ES0,ES0
,,,,
,question,,Kutsung ES9Z kuulub piirkondlikult:,The call ES9Z belongs regionally to:
,,,,
,FALSE,,Hiiumaale.,Hiiumaa
,TRUE,,"Üleriigiline, kasutamiseks ainult ERAÜ poolt.","Nationwide, for use only by the Estonian Amateur Radio League"
,FALSE,,Põlvamaale.,Põlvamaa
,FALSE,,"Üleriigiline, kasutamiseks ainult Punase Risti poolt.","Nationwide, for use only by the Red Cross."
,,,,
,question,,Kutsung ES2XX võib kuuluda millise klassi Eesti amatöörraadiojaamale?,The callsign ES2XX may belong to which class of Estonian amateur radio station?
,,,,
,FALSE,,C,C
,FALSE,,B,B
,TRUE,,A,A
,FALSE,,On välja antud eriloa alusel.,Issued under special permission.
,,,,
,question,,Ühiskasutusega (raadioklubi) amatöörraadiojaamale omistatakse kutsung:,A shared (radio club) amateur radio station is assigned the call sign:
,,,,
,FALSE,,AAA-CCC,AAA-CCC
,TRUE,,A-ZZ,A-ZZ
,FALSE,,XAA-ZZZ,XAA-ZZZ
,FALSE,,ABC-DZZ,ABC-DZZ
,,,,
,question,,Ühiskasutusega (raadioklubi) amatöörraadiojaama vastutavaks järelvaatajaks võib olla ainult:,The responsible supervisor of a shared (radio club) amateur radio station may only be:
,,,,
,TRUE,,A-klassi kvalifikatsioonitunnistust omav raadioamatöör.,A radio amateur holding an A-class license
,FALSE,,B-klassi kvalifikatsioonitunnistust omav raadioamatöör.,A radio amateur holding a B-class license
,FALSE,,C-klassi kvalifikatsioonitunnistust omav raadioamatöör.,A radio amateur holding a C-class license
,FALSE,,Riigiametnik.,Government official
,,,,
,question,,Amatöörraadiojaama luba väljastatakse Tehnilise Järelevalve Ameti poolt kestvusega:,An amateur radio station license is issued by the Technical Surveillance Authority for a period of:
,,,,
,FALSE,,Tähtajatu.,Indefinite
,FALSE,,1 aasta.,1 year
,FALSE,,3 aastat.,3 years
,TRUE,,5 aastat,5 years
,,,,
,question,,Amatöörraadiojaama tohib kasutada:,An amateur radio station may be used:
,,,,
,FALSE,,Ainult raadioamatööri harmoneeritud kvalifikatsioonitunnistuse alusel.,Only on the basis of a harmonized qualification certificate for radio amateurs
,TRUE,,Ainult kehtiva amatöörraadiojaama tööloa alusel.,Only with a valid amateur radio station operating license
,FALSE,,Ainult raadioamatööri kvalifikatsioonieksami sooritamise tunnistuse alusel.,Only on the basis of a certificate of passing the radio amateur qualification exam
,FALSE,,Ainult ERAÜ poolt väljaantud vastava loa alusel.,Only on the basis of a corresponding permit issued by the ERAÜ
,,,,
,question,,Amatöörraadiojaama tööluba kuulub hoidmisele:,An amateur radio station operating permit must be held by:
,,,,
,FALSE,,Raadiojaama valdaja elukohas.,The radio station owner's place of residence
,FALSE,,Raadiojaama registreeritud asukohas.,At the registered location of the radio station
,FALSE,,Tehnilise Järelevalve Ametis.,Technical Supervision Authority
,FALSE,,Tehnilise Järelevalve Ameti lubade osakonnas.,In the Permits Department of the Technical Surveillance Authority
,,,,
,question,,Amatöörraadiojaama alaline (kohtpaikne) kasutamine väljaspool selle registreeritud asukohta ilma tööloa muutmiseta on lubatud:,Permanent (local) use of an amateur radio station outside its registered location without changing the operating permit is permitted:
,,,,
,FALSE,,Kolm kuud.,Three months
,FALSE,,Viis kuud.,Five months
,FALSE,,Kuus kuud.,Six months
,FALSE,,Üks aasta.,One year